Index	Sample Name	Sample Type	Component Name	Component Type	Component Group Name	Actual Concentration	Expected RT	Area	Retention Time	Retention Time Delta (min)	Used	Calculated Concentration	Adduct / Charge	Accuracy	Formula	Precursor Mass	Accuracy Acceptance	Concentration Acceptance	Reportable	Ejection Status	Ejection Volume	Ejection Time
88	B20-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	1149.75000000001	0.0161894684332821	0.000189468433282092	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:46.7371607Z
89	B21-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	49543.9603465858	0.0192395134116803	0.00176048658831974	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:43.7637198Z
90	B21-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	47305.4295000001	0.0147855314117637	0.0012144685882363	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:43.7637198Z
91	B22-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	49922.2498429625	0.0204819237402946	0.000518076259705409	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:40.7359296Z
92	B22-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	40816.125	0.0187138594996599	0.00271385949965993	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:40.7359296Z
93	B23-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	54454.7440628418	0.0193821400225077	0.00161785997749226	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:37.7372719Z
94	B23-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	7296.93000000004	0.0140196396685252	0.00198036033147479	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:37.7372719Z
95	B24-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	52320.9509576892	0.0194564496494374	0.00154355035056257	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:34.7389133Z
96	B24-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	1115.71249999999	0.0179787294691216	0.00197872946912162	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:34.7389133Z
97	C1-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	50909.3088744284	0.0196402639806172	0.00135973601938285	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:46.7251039Z
98	C1-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	28716.9300000001	0.0162437908922687	0.000243790892268701	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:46.7251039Z
99	C2-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	47163.6756027143	0.020890096747963	0.000109903252036983	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:49.7277237Z
100	C2-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	17205.705	0.018292617425841	0.00229261742584103	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:49.7277237Z
101	C3-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	55368.3999162476	0.0197782732385504	0.00122172676144963	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:52.7254806Z
102	C3-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	1251.25000000002	0.0200754371787485	0.00407543717874852	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:52.7254806Z
103	C4-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	54032.1988121728	0.0193710214222122	0.00162897857778777	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:55.7199296Z
104	C4-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	814.499999999961	0.0179586155081185	0.0019586155081185	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:55.7199296Z
105	C5-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	51626.3366426148	0.0194241731212044	0.0015758268787956	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:58.7183980Z
106	C5-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	952.875000000009	0.0127640134616814	0.00323598653831864	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:58.7183980Z
