Index	Sample Name	Sample Type	Component Name	Component Type	Component Group Name	Actual Concentration	Expected RT	Area	Retention Time	Retention Time Delta (min)	Used	Calculated Concentration	Adduct / Charge	Accuracy	Formula	Precursor Mass	Accuracy Acceptance	Concentration Acceptance	Reportable	Ejection Status	Ejection Volume	Ejection Time
83	B18-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	36001.7109999997	0.0202830545006851	0.00128305450068508	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:52.7341565Z
84	B18-1	Unknown	CK	Internal Standards	Group 1	1	0.014	51599.8222901501	0.0210656778887376	0.00706567788873759	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:52.7341565Z
85	B19-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	43014.0150000003	0.0186053084833976	0.00039469151660242	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:49.7307818Z
86	B19-1	Unknown	CK	Internal Standards	Group 1	1	0.014	1679.54245058761	0.0196875035793088	0.0056875035793088	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:49.7307818Z
87	B20-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	43061.3100000002	0.0184250859190875	0.000574914080912481	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:46.7371607Z
88	B20-1	Unknown	CK	Internal Standards	Group 1	1	0.014	1656.7888095463	0.0188531561828772	0.00485315618287721	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:46.7371607Z
89	B21-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	44477.8514999999	0.0185160889012503	0.000483911098749727	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:43.7637198Z
90	B21-1	Unknown	CK	Internal Standards	Group 1	1	0.014	61903.0847925629	0.0183160720255455	0.0043160720255455	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:43.7637198Z
91	B22-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	42253.5599999998	0.0195778395269674	0.000577839526967369	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:40.7359296Z
92	B22-1	Unknown	CK	Internal Standards	Group 1	1	0.014	60814.8684135717	0.0207613594345074	0.00676135943450736	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:40.7359296Z
93	B23-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	47227.1399999998	0.0188976345010663	0.000102365498933662	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:37.7372719Z
94	B23-1	Unknown	CK	Internal Standards	Group 1	1	0.014	10079.4679991211	0.0181865007682905	0.00418650076829054	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:37.7372719Z
95	B24-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	47128.7634999999	0.0190582793372054	5.82793372054038E-05	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:34.7389133Z
96	B24-1	Unknown	CK	Internal Standards	Group 1	1	0.014	1682.02791887894	0.0194611872053322	0.00546118720533219	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:34.7389133Z
97	C1-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	42668.0550000002	0.0190143407208035	1.4340720803533E-05	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:46.7251039Z
98	C1-1	Unknown	CK	Internal Standards	Group 1	1	0.014	42167.0788490759	0.0188507648682174	0.00485076486821742	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:46.7251039Z
99	C2-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	35482.5450000002	0.0200579525432359	0.00105795254323588	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:49.7277237Z
100	C2-1	Unknown	CK	Internal Standards	Group 1	1	0.014	30336.4761808605	0.021705095938349	0.007705095938349	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:49.7277237Z
101	C3-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	47522.8645000007	0.0190171838807395	1.71838807394888E-05	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:52.7254806Z
102	C3-1	Unknown	CK	Internal Standards	Group 1	1	0.014	1517.60313112473	0.0198715994709405	0.00587159947094049	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:52.7254806Z
103	C4-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	46435.1400000004	0.0187852203583326	0.000214779641667402	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:55.7199296Z
104	C4-1	Unknown	CK	Internal Standards	Group 1	1	0.014	1218.10935237463	0.0205628766667975	0.00656287666679746	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:55.7199296Z
105	C5-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	45475.5150000002	0.0188451661291804	0.000154833870819601	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:58.7183980Z
106	C5-1	Unknown	CK	Internal Standards	Group 1	1	0.014	1256.34173369497	0.018087965329223	0.00408796532922301	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:48:58.7183980Z
107	C6-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	39741.7169999995	0.017763857100406	0.00123614289959397	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:49:01.7326238Z
108	C6-1	Unknown	CK	Internal Standards	Group 1	1	0.014	59481.3686707821	0.0213451012810861	0.00734510128108606	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:49:01.7326238Z
109	C7-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	38092.5000000001	0.0190694146302085	6.9414630208476E-05	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:49:04.7226562Z
110	C7-1	Unknown	CK	Internal Standards	Group 1	1	0.014	58575.1136498757	0.019007618105088	0.00500761810508797	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:49:04.7226562Z
111	C8-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	43896.5999999992	0.0189813498536546	1.86501463453892E-05	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:49:07.7253555Z
112	C8-1	Unknown	CK	Internal Standards	Group 1	1	0.014	2115.38199743324	0.0207384216724797	0.00673842167247966	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:49:07.7253555Z
113	C9-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	40378.4620000006	0.0198121504283897	0.000812150428389717	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:49:10.7185518Z
114	C9-1	Unknown	CK	Internal Standards	Group 1	1	0.014	63241.3483618309	0.0194356341216586	0.00543563412165861	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:49:10.7185518Z
115	C10-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	38051.5050000001	0.0190228936418755	2.28936418754655E-05	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:49:13.7265028Z
116	C10-1	Unknown	CK	Internal Standards	Group 1	1	0.014	40987.3654703644	0.0205024579706926	0.00650245797069259	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:49:13.7265028Z
117	C11-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	42676.1100000003	0.0192240229771371	0.000224022977137056	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:49:16.7258489Z
118	C11-1	Unknown	CK	Internal Standards	Group 1	1	0.014	1631.64651209494	0.0212957510496706	0.00729575104967056	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:49:16.7258489Z
119	C12-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	33228.0900000002	0.0210052785769585	0.00200527857695849	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:49:19.7197308Z
